collegeTeam,collegeConference,nflTeam,year,overall,round,pick,name,position
Northwestern,Big Ten,Seattle,2001,210,7,10,Harold Blackmon,Defensive Back
UCLA,Pac-10,Chicago,2002,210,6,38,Bryan Fletcher,Tight End
Miami,ACC,New England,2018,210,6,36,Braxton Berrios,Wide Receiver
Auburn,SEC,Philadelphia,2020,210,6,31,Prince Tega Wanogho,Offensive Tackle
Duke,ACC,Arizona,2021,210,6,26,Victor Dimukeje,Defensive End
Appalachian State,,Jacksonville,2013,210,7,4,Demetrius McCray,Cornerback
Clemson,ACC,Miami,1998,210,7,21,Jim Bundren,Offensive Guard
Georgia Tech,ACC,Atlanta,2009,210,7,1,Vance Walker,Defensive Tackle
Georgia,SEC,Arizona,2003,210,6,37,Tony Gilbert,Linebacker
Mississippi State,SEC,Seattle,2017,210,6,26,Justin Senior,Offensive Tackle
Mississippi State,SEC,Philadelphia,1995,210,7,2,Kevin Bouie,Running Back
Rutgers,Big East,Houston,2004,210,7,9,Raheem Orr,Defensive End
Gardner-Webb,,Kansas City,2008,210,7,3,Brian Johnston,Defensive End
NC State,ACC,Minnesota,2012,210,7,3,Audie Cole,Inside Linebacker
Missouri State,,Chicago,1997,210,7,9,Mike Miano,Defensive Tackle
Oregon,Pac-10,Seattle,2007,210,6,36,Jordan Kent,Wide Receiver
Louisiana,Sun Belt,Green Bay,2015,210,6,34,Christian Ringo,Defensive End
Louisiana Tech,Conference USA,New York,2014,210,6,34,IK Enemkpali,Defensive End
Fresno State,Western Athletic,Atlanta,2011,210,7,7,Andrew Jackson,Offensive Guard
Virginia Tech,ACC,Tampa Bay,2010,210,7,3,Cody Grimm,Safety
Auburn,SEC,Cincinnati,2019,210,6,37,Deshaun Davis,Inside Linebacker
Oklahoma State,Big 8,Denver,1994,210,7,16,Keith Burns,Linebacker
Texas,Big 12,Los Angeles,2009,211,7,2,Chris Ogbonnaya,Running Back
LSU,SEC,Carolina,2001,211,7,11,Louis Williams,Center
Washington State,Pac-10,Philadelphia,2005,211,6,37,Calvin Armstrong,Offensive Tackle
Syracuse,Big East,New York,2003,211,6,38,David Tyree,Wide Receiver
South Florida,American Athletic,Houston,2015,211,6,35,Reshard Cliett,Outside Linebacker
Florida,SEC,San Francisco,2016,211,6,36,Kelvin Taylor,Running Back
UCLA,Pac-12,Cleveland,2021,211,6,27,Demetric Felton,Wide Receiver
Alabama,SEC,Los Angeles,2010,211,7,4,Marquis Johnson,Cornerback
Mississippi State,SEC,Houston,2018,211,6,37,Jordan Thomas,Tight End
Notre Dame,FBS Independents,Minnesota,1994,211,7,17,Pete Bercich,Linebacker
Rice,Conference USA,Tennessee,2012,211,7,4,Scott Solomon,Defensive End
Virginia Tech,Big East,Dallas,2002,211,6,39,Bob Slowikowski,Tight End
Texas State,,Atlanta,2000,211,7,5,Darrick Vaughn,Defensive Back
Auburn,SEC,Houston,2014,211,6,35,Jay Prosch,Fullback
Texas,Big 12,Houston,2004,211,7,10,Sloan Thomas,Wide Receiver
UCF,Conference USA,San Francisco,2011,211,7,8,Bruce Miller,Defensive End
BYU,Western Athletic,New England,1998,211,7,22,Jason Andersen,Center
USC,Pac-10,New England,2007,211,7,1,Oscar Lua,Linebacker
Arkansas,SEC,New York,2008,211,7,4,Nate Garner,Offensive Tackle
Weber State,,Dallas,2006,211,7,3,Pat McQuistan,Offensive Tackle
Oklahoma,Big 12,Cincinnati,2019,211,6,38,Rodney Anderson,Running Back
Miami,Big East,Seattle,1997,211,7,10,Carlos Jones,Defensive Back
Miami,Big East,Tennessee,1995,211,7,3,C.J. Richardson,Defensive Back
James Madison,,Carolina,1999,211,7,5,Tony Booth,Defensive Back
Alabama,SEC,Detroit,2013,211,7,5,Michael Williams,Tight End
UMass,FBS Independents,Indianapolis,2020,211,6,32,Isaiah Rodgers,Cornerback
UCLA,Pac-12,New England,2017,211,6,28,Conor McDermott,Offensive Tackle
Central Michigan,Mid-American,Dallas,2016,212,6,37,Kavon Frazier,Safety
Louisiana Tech,FBS Independents,San Francisco,2000,212,7,6,Tim Rattay,Quarterback
Cincinnati,Conference USA,Pittsburgh,2002,212,7,1,LaVar Glover,Defensive Back
Texas State,,Miami,2006,212,7,4,Fred Evans,Defensive Tackle
Auburn,SEC,Tennessee,2011,212,7,9,Zach Clayton,Defensive Tackle
TCU,Western Athletic,Tampa Bay,1998,212,7,23,Chance McCarty,Defensive End
Utah State,Western Athletic,Tampa Bay,2012,212,7,5,Michael Smith,Running Back
Ohio State,Big Ten,Denver,1994,212,7,18,Butler By'not'e,Running Back
Pittsburgh,ACC,Buffalo,2021,212,6,28,Damar Hamlin,Safety
Memphis,Conference USA,Pittsburgh,2004,212,7,11,Eric Taylor,Defensive Tackle
Tennessee State,,Kansas City,2009,212,7,3,Javarris Williams,Running Back
Cal Poly,,Dallas,2007,212,7,2,Courtney Brown,Defensive Back
Arkansas-Pine Bluff,,Green Bay,1999,212,7,6,Chris Akins,Defensive Back
Arizona,Pac-12,Cincinnati,2014,212,6,36,Marquis Flowers,Outside Linebacker
Utah,Pac-12,Philadelphia,2013,212,7,6,Joe Kruger,Defensive End
Notre Dame,FBS Independents,Green Bay,2003,212,6,39,Brennan Curtin,Offensive Tackle
California,Pac-10,Las Vegas,2005,212,6,38,Ryan Riddle,Linebacker
South Florida,American Athletic,Green Bay,2017,212,6,29,Kofi Amichia,Offensive Tackle
Arizona,Pac-10,Atlanta,2008,212,7,5,Wilrey Fontenot,Cornerback
Auburn,SEC,Arizona,1997,212,7,11,Mark Smith,Defensive End
Washington State,Pac-12,Indianapolis,2020,212,6,33,Dezmon Patmon,Wide Receiver
Tennessee,SEC,Arizona,1995,212,7,4,Billy Williams,Wide Receiver
Middle Tennessee,Sun Belt,Miami,2010,212,7,5,Chris McCoy,Outside Linebacker
Boise State,Big West,Kansas City,2001,212,7,12,Shaunard Harts,Defensive Back
South Carolina,SEC,Carolina,2019,212,6,39,Dennis Daley,Offensive Tackle
Miami,ACC,Pittsburgh,2015,212,6,36,Anthony Chickillo,Defensive End
Wagner,,Baltimore,2018,212,6,38,Greg Senat,Offensive Tackle
Notre Dame,FBS Independents,Jacksonville,2001,213,7,13,Anthony Denman,Linebacker
Appalachian State,Sun Belt,Minnesota,2018,213,6,39,Colby Gossett,Offensive Guard
North Dakota State,,Carolina,2002,213,7,2,Pete Campion,Offensive Guard
Houston,Conference USA,Tennessee,2000,213,7,7,Mike Green,Running Back
USC,Pac-10,Jacksonville,2008,213,7,6,Chauncey Washington,Running Back
Boise State,Western Athletic,Washington,2011,213,7,10,Brandyn Thompson,Cornerback
BYU,Western Athletic,Cincinnati,1995,213,7,5,John Walsh,Quarterback
Miami,Big East,New York,2004,213,7,12,Darrell McClover,Linebacker
Alcorn State,,Green Bay,1999,213,7,7,Donald Driver,Wide Receiver
Nebraska,Big 8,New Orleans,1994,213,7,19,Lance Lundberg,Offensive Tackle
Texas A&M,SEC,Dallas,2019,213,6,40,Donovan Wilson,Safety
LSU,SEC,Cleveland,2007,213,7,3,Chase Pittman,Defensive End
Syracuse,Big East,Jacksonville,2006,213,7,5,James Wyche,Defensive End
Eastern Kentucky,,Miami,2003,213,6,40,Yeremiah Bell,Defensive Back
Louisville,ACC,Pittsburgh,2017,213,6,30,Colin Holba,Long Snapper
Wisconsin,Big Ten,Buffalo,2021,213,6,29,Rachad Wildgoose,Cornerback
Michigan,Big Ten,Indianapolis,2020,213,6,34,Jordan Glasgow,Inside Linebacker
Oregon State,Pac-10,Baltimore,2005,213,6,39,Derek Anderson,Quarterback
USC,Pac-10,Green Bay,1997,213,7,12,Chris Miller,Wide Receiver
Arizona State,Pac-10,Philadelphia,2009,213,7,4,Paul Fanaika,Offensive Guard
UAB,Conference USA,Green Bay,2015,213,6,37,Kennard Backman,Tight End
Houston,Conference USA,New York,1998,213,7,24,Ben Fricke,Center
SMU,Conference USA,Washington,2012,213,7,6,Richard Crawford,Cornerback
NC State,ACC,Detroit,2010,213,7,6,Willie Young,Defensive End
Penn State,Big Ten,Minnesota,2013,213,7,7,Michael Mauti,Inside Linebacker
Clemson,ACC,New York,2014,213,6,37,Tajh Boyd,Quarterback
Michigan State,Big Ten,San Francisco,2016,213,6,38,Aaron Burbridge,Wide Receiver
Montana State,,Miami,1994,214,7,20,Sean Hill,Defensive Back
Ohio State,Big Ten,San Francisco,2008,214,7,7,Larry Grant,Outside Linebacker
Missouri,Big 12,Houston,2003,214,6,41,Keith Wright,Defensive Tackle
Iowa,Big Ten,Las Vegas,2005,214,6,40,Pete McMahon,Offensive Tackle
Ohio State,Big Ten,Buffalo,2001,214,7,14,Reggie Germany,Wide Receiver
Michigan State,Big Ten,Las Vegas,2006,214,7,6,Chris Morris,Center
Florida,SEC,Seattle,2020,214,6,36,Freddie Swain,Wide Receiver
Georgia Tech,ACC,Buffalo,2004,214,7,13,Jonathan Smith,Wide Receiver
Stanford,Pac-12,Houston,2018,214,6,40,Peter Kalambayi,Outside Linebacker
Fresno State,Western Athletic,Tampa Bay,2007,214,7,4,Chris Denman,Offensive Tackle
Kansas,Big 8,Los Angeles,1995,214,7,6,Gerald McBurrows,Defensive Back
North Carolina,ACC,Minnesota,2013,214,7,8,Travis Bond,Offensive Guard
SMU,American Athletic,Los Angeles,2014,214,6,38,Garrett Gilbert,Quarterback
Wisconsin,Big Ten,Green Bay,2021,214,6,30,Cole Van Lanen,Offensive Tackle
Houston,American Athletic,New England,2016,214,6,39,Elandon Roberts,Inside Linebacker
Georgia,SEC,Jacksonville,1998,214,7,25,Brandon ToLBert,Linebacker
Arkansas State,Sun Belt,Houston,2011,214,7,11,Derek Newton,Offensive Tackle
Virginia,ACC,Pittsburgh,1999,214,7,8,Antonio Dingle,Defensive Tackle
Utah State,Mountain West,Kansas City,2019,214,6,41,Darwin Thompson,Running Back
Penn State,Big Ten,Minnesota,2010,214,7,7,Mickey Shuler,Tight End
Notre Dame,FBS Independents,Denver,2000,214,7,8,Jarious Jackson,Quarterback
Washington,Pac-12,Philadelphia,2017,214,6,31,Elijah Qualls,Defensive Tackle
Weber State,,Miami,2009,214,7,5,J.D. Folsom,Outside Linebacker
Vanderbilt,SEC,Indianapolis,2012,214,7,7,Tim Fugger,Outside Linebacker
BYU,Mountain West,Detroit,2002,214,7,3,Luke Staley,Running Back
Stanford,Pac-10,Kansas City,1997,214,7,13,Nathan Parks,Offensive Tackle
Buffalo,Mid-American,Seattle,2015,214,6,38,Kristjan Sokoli,Defensive End
Auburn,SEC,Buffalo,2002,215,7,4,Mike Pucillo,Offensive Guard
Arizona,Pac-10,Minnesota,2011,215,7,12,De'Aundre Reed,Defensive End
Virginia Tech,ACC,Baltimore,2008,215,7,8,Justin Harper,Wide Receiver
Delaware,,Arizona,2007,215,7,5,Ben Patrick,Tight End
Wayne State (MI),,Detroit,1994,215,7,21,Tom Beer,Linebacker
BYU,Mountain West,Cincinnati,2009,215,7,6,Fui Vakapuna,Running Back
Missouri,SEC,Tampa Bay,2019,215,7,1,Terry Beckner Jr.,Defensive Tackle
California,Pac-10,Arizona,2000,215,7,9,Sekou Sanyika,Linebacker
Alabama,SEC,Baltimore,2018,215,6,41,Bradley Bozeman,Center
Miami,Big East,Chicago,2004,215,7,14,Alfonso Marshall,Defensive Back
North Carolina A&T,,Los Angeles,1997,215,7,14,Cedric White,Defensive End
Wake Forest,ACC,New York,2013,215,7,9,Tommy Bohanon,Fullback
NC State,ACC,Cincinnati,2003,215,7,1,Scott Kooistra,Offensive Tackle
Cincinnati,Conference USA,San Francisco,2005,215,7,1,Daven Holly,Defensive Back
TCU,Big 12,Seattle,2016,215,6,40,Joey Hunt,Center
Maryland,ACC,Tampa Bay,1995,215,7,7,Steve Ingram,Offensive Tackle
Oregon,Pac-12,Tennessee,2021,215,6,31,Brady Breeze,Safety
Purdue,Big Ten,Cincinnati,2020,215,7,1,Markus Bailey,Inside Linebacker
Samford,,Tennessee,2006,215,7,7,Cortland Finnegan,Defensive Back
Tennessee,SEC,Pittsburgh,2014,215,6,39,Dan McCullers,Defensive Tackle
Michigan State,Big Ten,Las Vegas,2010,215,7,8,Jeremy Ware,Cornerback
Miami,ACC,Detroit,2017,215,6,32,Brad Kaaya,Quarterback
Minnesota,Big Ten,San Francisco,1998,215,7,26,Ryan Thelwell,Wide Receiver
North Carolina,ACC,Detroit,1999,215,7,9,Mike Pringley,Defensive End
Texas,Big 12,Miami,2012,215,7,8,Kheeston Randall,Defensive Tackle
Fresno State,Mountain West,Los Angeles,2015,215,6,39,Cody Wichmann,Offensive Guard
Appalachian State,,Atlanta,2001,215,7,15,Corey Hall,Defensive Back
New Mexico,Mountain West,Buffalo,2006,216,7,8,Terrance Pennington,Offensive Tackle
South Carolina,SEC,Carolina,2009,216,7,7,Captain Munnerlyn,Cornerback
Baylor,Big 12,Los Angeles,2011,216,7,13,Mikail Baker,Defensive Back
Wisconsin,Big Ten,Detroit,2003,216,7,2,Ben Johnson,Offensive Tackle
Nebraska,Big 12,Kansas City,1998,216,7,27,Eric Warfield,Defensive Back
Northwestern Oklahoma State,,Dallas,2004,216,7,15,Patrick Crayton,Wide Receiver
California,Pac-12,Carolina,2012,216,7,9,D.J. Campbell,Safety
Miami,ACC,Pittsburgh,2021,216,6,32,Quincy Roche,Outside Linebacker
Florida State,ACC,Dallas,1994,216,7,22,Toddrick McIntosh,Defensive Tackle
Arkansas,SEC,Washington,2020,216,7,2,Kamren Curl,Safety
Michigan,Big Ten,Washington,2007,216,7,6,Tyler Ecker,Tight End
Florida State,ACC,Dallas,2017,216,6,33,Marquez White,Cornerback
Maryland,ACC,Washington,2000,216,7,10,Delbert Cowsette,Defensive Tackle
Illinois,Big Ten,Kansas City,2019,216,7,2,Nick Allegretti,Center
Washington,Pac-12,Las Vegas,2018,216,6,42,Azeem Victor,Inside Linebacker
Grand Valley State,,Green Bay,2013,216,7,10,Charles Johnson,Wide Receiver
Ohio,Mid-American,Detroit,2008,216,7,9,Landon Cohen,Defensive Tackle
Rutgers,Big East,Seattle,1995,216,7,8,Keif Bryant,Defensive End
Virginia,ACC,Baltimore,1999,216,7,10,Anthony Poindexter,Defensive Back
Arizona,Pac-10,Tennessee,1997,216,7,15,Armon Williams,Defensive Back
Michigan State,Big Ten,Miami,2005,216,7,2,Kevin Vickerson,Defensive Tackle
Eastern Michigan,Mid-American,Dallas,2016,216,6,41,Darius Jackson,Running Back
Cal Poly,,Los Angeles,2002,216,7,5,Seth Burford,Quarterback
Rice,Conference USA,Houston,2015,216,6,40,Christian Covington,Defensive Tackle
Iowa,Big Ten,Buffalo,2010,216,7,9,Kyle Calloway,Offensive Tackle
Vanderbilt,SEC,Houston,2014,216,7,1,Dre Hal,Cornerback
BYU,Mountain West,New England,2001,216,7,16,Owen Pochman,Place Kicker
USC,Pac-10,Detroit,2006,217,7,9,Fred Matua,Offensive Guard
Florida,SEC,Washington,2011,217,7,14,Maurice Hurt,Offensive Guard
Chattanooga,,Tennessee,2017,217,6,34,Corey Levin,Offensive Guard
Michigan State,Big Ten,New York,2001,217,7,17,Siitupe Peko,Offensive Guard
Florida State,ACC,Tampa Bay,2010,217,7,10,Dekoda Watson,Outside Linebacker
UCLA,Pac-10,Chicago,1998,217,7,28,Chad Overhauser,Offensive Guard
Michigan,Big Ten,Cincinnati,1997,217,7,16,William Carr,Defensive Tackle
Indiana,Big Ten,Washington,2014,217,7,2,Ted Bolser,Tight End
Widener,,Atlanta,2002,217,7,6,Mike Coleman,Wide Receiver
Texas,Big 12,Minnesota,2019,217,7,3,Kris Boyd,Cornerback
East Central,,Cleveland,2013,217,7,11,Armonty Bryant,Defensive End
Washington,Pac-12,Denver,2018,217,6,43,Keishawn Bierria,Outside Linebacker
Western Michigan,Mid-American,Tampa Bay,2009,217,7,8,E.J. Biggers,Cornerback
Oregon State,Pac-10,Washington,1999,217,7,11,Tim Alexander,Wide Receiver
Iowa,Big Ten,Washington,2012,217,7,10,Jordan Bernstine,Cornerback
Coastal Carolina,,Minnesota,2007,217,7,7,Tyler Thigpen,Quarterback
Baylor,Big 12,Dallas,2016,217,6,42,Rico Gathers,Tight End
Southern Mississippi,Conference USA,Kansas City,2015,217,6,41,Rakeem Nunez-Roches,Defensive Tackle
Virginia Tech,ACC,Chicago,2021,217,6,33,Khalil Herbert,Running Back
Louisville,Conference USA,Houston,2003,217,7,3,Curry Burns,Defensive Back
Washington,Pac-10,San Francisco,2004,217,7,16,Cody Pickett,Quarterback
Virginia Tech,ACC,Cleveland,2005,217,7,3,Jon Dunn,Offensive Tackle
California,Pac-10,New York,2000,217,7,11,Jeremiah Parker,Defensive End
San Diego State,Mountain West,Green Bay,2008,217,7,10,Brett Swain,Wide Receiver
Penn State,Big Ten,Las Vegas,1994,217,7,23,Rob Holmberg,Linebacker
Grambling,,New York,1995,217,7,9,Curtis Ceaser,Wide Receiver
Tennessee,SEC,San Francisco,2020,217,7,3,Jauan Jennings,Wide Receiver
Army,FBS Independents,Detroit,2008,218,7,11,Caleb Campbell,Safety
West Texas A&M,,Chicago,2010,218,7,11,J'marcus Webb,Offensive Tackle
Texas A&M,Big 12,Pittsburgh,2001,218,7,18,Chris Taylor,Wide Receiver
North Carolina A&T,,Los Angeles,1997,218,7,17,Toran James,Linebacker
Colorado,Big 12,Green Bay,2009,218,7,9,Brad Jones,Outside Linebacker
Wyoming,Mountain West,Cincinnati,2004,218,7,17,Casey Bramlet,Quarterback
San Diego State,Mountain West,Kansas City,2012,218,7,11,Jerome Long,Defensive Tackle
USC,Pac-12,Buffalo,2016,218,6,43,Kevon Seymour,Cornerback
USC,Pac-10,Denver,1999,218,7,12,Billy Miller,Wide Receiver
Tulane,American Athletic,Minnesota,2018,218,6,44,Ade Aruna,Defensive End
Oregon State,Pac-12,Philadelphia,2013,218,7,12,Jordan Poyer,Cornerback
Texas,Big 12,Indianapolis,2021,218,6,34,Sam Ehlinger,Quarterback
Florida,SEC,Tennessee,2005,218,7,4,Reynaldo Hill,Defensive Back
USC,Pac-10,Jacksonville,2003,218,7,4,Malaefou MacKenzie,Running Back
USC,Pac-12,Kansas City,2017,218,6,35,Leon McQuay III,Safety
Minnesota,Big Ten,New York,2020,218,7,4,Carter Coughlin,Outside Linebacker
BYU,Mountain West,Arizona,2006,218,7,10,Todd Watkins,Wide Receiver
Virginia Tech,Big East,Minnesota,2002,218,7,7,Chad Beasley,Defensive Tackle
Wake Forest,ACC,Baltimore,2014,218,7,3,Michael Campanaro,Wide Receiver
Utah,Mountain West,New York,2000,218,7,12,Richard Seals,Defensive Tackle
Tennessee State,,Las Vegas,2015,218,7,1,Anthony Morris,Offensive Tackle
Kansas State,Big 12,Houston,2007,218,7,8,Zach Diles,Linebacker
Ohio State,Big Ten,Dallas,2019,218,7,4,Mike Weber,Running Back
Purdue,Big Ten,Green Bay,1998,218,7,29,Edwin Watson,Running Back
Air Force,Western Athletic,Denver,1995,218,7,10,Steve Russ,Linebacker
Boston College,Big East,Denver,1994,218,7,24,Tom Nalen,Center
North Carolina,ACC,Green Bay,2011,218,7,15,Ryan Taylor,Tight End
Ole Miss,SEC,Denver,1998,219,7,30,Nate Wayne,Linebacker
West Virginia,Big East,Atlanta,2004,219,7,18,Quincy Wilson,Running Back
UCLA,Pac-10,Washington,2010,219,7,12,Terrence Austin,Wide Receiver
Syracuse,Big East,Miami,2007,219,7,9,Kelvin Smith,Linebacker
Nebraska,Big 12,Pittsburgh,1999,219,7,13,Chad Kelsay,Linebacker
USC,Pac-12,Cleveland,2015,219,7,2,Hayes Pullard,Inside Linebacker
Auburn,SEC,Denver,2021,219,6,35,Seth Williams,Wide Receiver
North Carolina,ACC,Cincinnati,2002,219,7,8,Joey Evans,Defensive End
California,Pac-12,Minnesota,2012,219,7,12,Trevor Guyton,Defensive End
Utah,Western Athletic,Jacksonville,1995,219,7,11,Curtis Marsh,Wide Receiver
UTEP,Western Athletic,Minnesota,2005,219,7,5,Adrian Ward,Defensive Back
Colorado,Big 12,Dallas,2003,219,7,5,Justin Bates,Offensive Guard
Syracuse,Big East,Baltimore,2006,219,7,11,Ryan LaCasse,Linebacker
TCU,Mountain West,New England,2011,219,7,16,Malcolm Williams,Defensive Back
LSU,SEC,San Francisco,2009,219,7,10,Curtis Taylor,Safety
Ohio,Mid-American,Las Vegas,2014,219,7,4,T.J. Carrie,Cornerback
Hawai'i',,Atlanta,2001,219,7,19,Kynan Forney,Offensive Tackle
LSU,SEC,New England,2018,219,7,1,Danny Etling,Quarterback
Arizona,Pac-12,Denver,2016,219,6,44,Will Parks,Safety
Grambling,,Kansas City,1994,219,7,25,Tracy Greene,Tight End
Northwestern State,,Buffalo,2008,219,7,12,Demetrius Bell,Offensive Tackle
Georgia,SEC,Dallas,2000,219,7,13,Orantes Grant,Linebacker
Maryland,Big Ten,Pittsburgh,2019,219,7,5,Derwin Gray,Offensive Guard
Miami,ACC,Minnesota,2017,219,7,1,Stacy Coley,Wide Receiver
Rutgers,Big East,Arizona,2013,219,7,13,D.C. Jefferson,Tight End
Knoxville,,Indianapolis,1997,219,7,18,Clarence Thompson,Defensive Back
Iowa,Big Ten,Baltimore,2020,219,7,5,Geno Stone,Safety
Oregon,Pac-10,Los Angeles,1995,220,7,12,Herman O'Berry,Defensive Back
Richmond,,Kansas City,1999,220,7,14,Eric King,Offensive Guard
Arizona State,Pac-10,Denver,2008,220,7,13,Josh Barrett,Safety
West Virginia,Big East,Buffalo,2009,220,7,11,Ellis Lankster,Cornerback
Northwestern,Big Ten,Minnesota,2017,220,7,2,Ifeadi Odenigbo,Defensive End
Texas A&M,SEC,Houston,2019,220,7,6,Cullen Gillaspia,Running Back
Nebraska,Big 12,New York,2006,220,7,12,Titus Adams,Defensive End
Florida Intl,,Seattle,2018,220,7,2,Alex Mcgough,Quarterback
South Carolina,SEC,Chicago,2005,220,7,6,Rodriques Wilson,Linebacker
Maryland,ACC,Minnesota,2004,220,7,19,Jeff Dugan,Tight End
San Diego State,Mountain West,Los Angeles,2000,220,7,14,Andrew Kline,Offensive Guard
Georgia,SEC,Indianapolis,2002,220,7,9,Josh Mallard,Defensive End
Vanderbilt,SEC,Seattle,2013,220,7,14,Ryan Seymour,Offensive Guard
TCU,Mountain West,Chicago,2012,220,7,13,Greg McCoy,Cornerback
Tennessee,SEC,New Orleans,2007,220,7,10,Marvin Mitchell,Linebacker
Georgia,SEC,Dallas,2011,220,7,17,Shaun Chapas,Fullback
Cincinnati,Conference USA,Detroit,2003,220,7,6,Blue Adams,Defensive Back
Monmouth,,Jacksonville,2015,220,7,3,Neal Sterling,Wide Receiver
Mississippi State,SEC,Philadelphia,2010,220,7,13,Jamar Chaney,Inside Linebacker
Washington,Pac-12,Pittsburgh,2016,220,6,45,Travis Feeney,Outside Linebacker
Texas,Big 12,Philadelphia,1998,220,7,31,Chris Akins,Defensive Tackle
Connecticut,American Athletic,Minnesota,2014,220,7,5,Shamar Stephen,Defensive Tackle
Idaho,Big West,Indianapolis,2001,220,7,20,Rick DeMulling,Offensive Guard
Boston College,ACC,Green Bay,2021,220,6,36,Isaiah McDuffie,Inside Linebacker
Alabama,SEC,Tennessee,1994,220,7,26,Lemanski Hall,Linebacker
Ohio State,Big Ten,Los Angeles,2020,220,7,6,K.J. Hill,Wide Receiver
Valdosta State,,Minnesota,1997,220,7,19,Artie Ulmer,Linebacker
Washington State,Pac-12,Las Vegas,2017,221,7,3,Shalom Luani,Safety
Illinois,Big Ten,New England,2016,221,6,46,Ted Karras,Offensive Guard
Nebraska,Big 12,Jacksonville,1997,221,7,20,Jon Hesse,Linebacker
Northwestern,Big Ten,Los Angeles,2006,221,7,13,Tim McGarigle,Linebacker
Western Michigan,Mid-American,Buffalo,1995,221,7,13,Tom Nutten,Center
Florida Atlantic,Conference USA,Buffalo,2014,221,7,6,Randell Johnson,Outside Linebacker
USC,Pac-10,New Orleans,2001,221,7,21,Ennis Davis,Defensive Tackle
Illinois,Big Ten,Buffalo,1994,221,7,27,Filmel Johnson,Defensive Back
Ole Miss,SEC,Tampa Bay,2005,221,7,7,Rick Razzano,Running Back
Tulane,American Athletic,Cleveland,2019,221,7,7,Donnie Lewis Jr.,Cornerback
Washington,Pac-10,Carolina,2000,221,7,15,Lester Towns,Linebacker
North Carolina,ACC,Carolina,2008,221,7,14,Hilee Taylor,Outside Linebacker
Maryland,ACC,New York,2011,221,7,18,Da'Rel Scott,Running Back
Boise State,Mountain West,Arizona,2012,221,7,14,Nate Potter,Offensive Tackle
East Carolina,Conference USA,New York,2010,221,7,14,Matt Dodge,Punter
Ole Miss,SEC,Chicago,2007,221,7,11,Trumaine McBride,Defensive Back
Oregon,Pac-10,Minnesota,2003,221,7,7,Keenan Howry,Wide Receiver
Southeast Missouri State,,Pittsburgh,1998,221,7,32,Angel Rubio,Defensive End
Houston,American Athletic,Indianapolis,2018,221,7,3,Matthew Adams,Inside Linebacker
Florida,SEC,Las Vegas,2015,221,7,4,Andre Debose,Wide Receiver
Idaho,Western Athletic,Washington,2009,221,7,12,Eddie Williams,Fullback
Middle Tennessee,,Chicago,1999,221,7,15,Sulecio Sanford,Wide Receiver
Fresno State,Western Athletic,Kansas City,2002,221,7,10,Maurice Rodriguez,Linebacker
Michigan,Big Ten,Miami,2004,221,7,20,Tony Pape,Offensive Tackle
North Carolina,ACC,Chicago,2021,221,6,37,Dazz Newsome,Wide Receiver
Southern Utah,,Los Angeles,2013,221,7,15,Brad Sorensen,Quarterback
Florida International,Conference USA,Carolina,2020,221,7,7,Stantley Thomas-Oliver III,Cornerback
Montana,,Dallas,2012,222,7,15,Caleb McSurdy,Inside Linebacker
West Virginia,Big East,Indianapolis,2009,222,7,13,Pat McAfee,Place Kicker
Georgia,SEC,Chicago,2008,222,7,15,Chester Adams,Offensive Guard
Nebraska,Big 12,Seattle,2003,222,7,8,Josh Brown,Place Kicker
Virginia Tech,ACC,Cleveland,2006,222,7,14,Justin Hamilton,Defensive Back
Princeton,,Seattle,2001,222,7,22,Dennis Norman,Offensive Tackle
Arizona State,Pac-12,Arizona,2020,222,7,8,Eno Benjamin,Running Back
Hampton,,Los Angeles,2000,222,7,16,Jason Thomas,Offensive Guard
Kentucky,SEC,New England,1994,222,7,28,Marty Moore,Linebacker
San José State,Mountain West,Houston,2018,222,7,4,Jermaine Kelly,Cornerback
Minnesota,Big Ten,Jacksonville,2017,222,7,4,Jalen Myrick,Cornerback
Florida Atlantic,Conference USA,Chicago,2019,222,7,8,Kerrith Whyte Jr.,Running Back
UCF,American Athletic,Jacksonville,2014,222,7,7,Storm Johnson,Running Back
Fresno State,Western Athletic,Atlanta,1997,222,7,21,Chris Bayne,Defensive Back
Utah,Western Athletic,Tennessee,1999,222,7,16,Phil Glover,Linebacker
Middle Tennessee,Sun Belt,Jacksonville,2002,222,7,11,Kendall Newson,Wide Receiver
Boise State,Western Athletic,Buffalo,2007,222,7,12,Derek Schouman,Tight End
Miami (OH),Mid-American,Cincinnati,1998,222,7,33,Damian Vaughn,Tight End
Alabama,SEC,Carolina,2021,222,6,38,Thomas Fletcher,Long Snapper
Montana,,Tennessee,2010,222,7,15,Marc Mariani,Wide Receiver
The Citadel,,Washington,2005,222,7,8,Nehemiah Broughton,Running Back
Wayne State (NE),,Denver,1995,222,7,14,Byron Chamberlain,Wide Receiver
Alabama,SEC,Miami,2004,222,7,21,Derrick Pope,Linebacker
UCLA,Pac-12,Tennessee,2016,222,7,1,Aaron Wallace,Outside Linebacker
South Florida,American Athletic,Washington,2015,222,7,5,Austin Reiter,Center
Arkansas,SEC,Buffalo,2013,222,7,16,Chris Gragg,Tight End
Florida Intl,,Tampa Bay,2011,222,7,19,Anthony Gaitor,Cornerback
USC,Pac-12,Tampa Bay,2017,223,7,5,Stevie Tu'Ikolovatu,Defensive Tackle
