collegeTeam,collegeConference,nflTeam,year,overall,round,pick,name,position
USC,Pac-12,New York,2015,6,1,6,Leonard Williams,Defensive End
Maryland,ACC,San Francisco,2006,6,1,6,Vernon Davis,Tight End
West Virginia,Big East,Tennessee,2005,6,1,6,Adam Jones,Defensive Back
LSU,SEC,Washington,2007,6,1,6,LaRon Landry,Defensive Back
Alabama,SEC,Cincinnati,2009,6,1,6,Andre Smith,Offensive Tackle
Colorado State,Western Athletic,Arizona,1987,6,1,6,Kelly Stouffer,Quarterback
Kansas,Big 8,New York,1971,6,1,6,John Riggins,Running Back
Oregon,Pac-12,Los Angeles,2020,6,1,6,Justin Herbert,Quarterback
Florida,SEC,Detroit,1985,6,1,6,Lomas Brown,Offensive Tackle
Jackson State,,Tennessee,1975,6,1,6,Robert Brazile,Linebacker
LSU,SEC,Dallas,2012,6,1,6,Morris Claiborne,Cornerback
California,Pac-10,Green Bay,1981,6,1,6,Rich Campbell,Quarterback
Kentucky,SEC,Atlanta,1977,6,1,6,Warren Bryant,Offensive Tackle
LSU,SEC,Cleveland,2013,6,1,6,Barkevious Mingo,Defensive End
Michigan,Big Ten,Arizona,1980,6,1,6,Curtis Greer,Defensive End
Alabama,SEC,Indianapolis,1979,6,1,6,Barry Krauss,Linebacker
Alabama,SEC,New York,1976,6,1,6,Richard Todd,Quarterback
Texas A&M,SEC,Atlanta,2014,6,1,6,Jake Matthews,Offensive Tackle
Pittsburgh,FBS Independents,Chicago,1983,6,1,6,Jimbo Covert,Offensive Tackle
Florida State,FBS Independents,New England,1969,6,1,6,Ron Sellers,Wide Receiver
Stanford,Pac-8,Green Bay,1978,6,1,6,James Lofton,Wide Receiver
Stanford,Pac-8,Tennessee,1972,6,1,6,Greg Sampson,Defensive End
Virginia,ACC,New Orleans,1986,6,1,6,Jim Dombrowski,Offensive Tackle
Syracuse,FBS Independents,Denver,1967,6,1,6,Floyd Little,Running Back
Indiana,Big Ten,New York,1974,6,1,6,Carl Barzilauskas,Defensive Tackle
Nebraska,Big 12,Los Angeles,1998,6,1,6,Grant Wistrom,Defensive End
USC,Pac-8,Philadelphia,1973,6,1,6,Charle Young,Tight End
Alabama,SEC,Tampa Bay,1993,6,1,6,Eric Curry,Defensive End
Texas,Southwest,Los Angeles,1984,6,1,6,Mossy Cade,Defensive Back
Miami,Big East,Cleveland,2004,6,1,6,Kellen Winslow II,Tight End
Fresno State,Western Athletic,Tampa Bay,1994,6,1,6,Trent Dilfer,Quarterback
NC State,ACC,New England,1968,6,1,6,Dennis Byrd,Defensive End
Florida State,ACC,Philadelphia,2000,6,1,6,Corey Simon,Defensive Tackle
Alverno College,,Arizona,1991,6,1,6,Eric Swann,Defensive End
Florida State,ACC,Seattle,1997,6,1,6,Walter Jones,Offensive Tackle
Nebraska,Big 8,Tampa Bay,1989,6,1,6,Broderick Thomas,Linebacker
Arizona,Pac-10,Cincinnati,1984,7,1,7,Ricky Hunley,Linebacker
Tennessee,SEC,Tampa Bay,1991,7,1,7,Charles McRae,Offensive Tackle
Alabama,SEC,Tampa Bay,2012,7,1,7,Mark Barron,Safety
Oregon,Pac-12,Detroit,2021,7,1,7,Penei Sewell,Offensive Tackle
San Diego State,Western Athletic,New Orleans,1998,7,1,7,Kyle Turley,Offensive Tackle
Michigan,Big Ten,Buffalo,1973,7,1,7,Paul Seymour,Tight End
Virginia,ACC,Arizona,2000,7,1,7,Thomas Jones,Running Back
California,Pac-10,San Francisco,2001,7,1,7,Andre Carter,Defensive End
Penn State,FBS Independents,Cincinnati,1970,7,1,7,Mike Reid,Defensive Tackle
Penn State,FBS Independents,San Francisco,1969,7,1,7,Ted Kwalick,Tight End
Marshall,Mid-American,Jacksonville,2003,7,1,7,Byron Leftwich,Quarterback
Houston,Southwest,Detroit,1990,7,1,7,Andre Ware,Quarterback
UCLA,AAWU,Detroit,1967,7,1,7,Mel Farr,Running Back
Maryland,ACC,Las Vegas,2009,7,1,7,Darrius Heyward-Bey,Wide Receiver
USC,Pac-10,New Orleans,2008,7,1,7,Sedrick Ellis,Defensive Tackle
Oregon,Pac-12,San Francisco,2016,7,1,7,DeForest Buckner,Defensive End
Stanford,Pac-10,Minnesota,1982,7,1,7,Darrin Nelson,Running Back
Purdue,Big Ten,Cleveland,1976,7,1,7,Mike Pruitt,Running Back
Texas,Big 12,Detroit,2004,7,1,7,Roy Williams,Wide Receiver
